COUNTRY,CITY,ZONE,NW_AGO,ORDERS
AR,San Miguel De Tucuman,Tucuman,8,2411.0
AR,Cordoba,CORDOBA_CERRO_ROSAS,8,2409.0
CL,Viña Del Mar,Concón,8,2400.0
MX,Cancun,Cun_Pedregal,8,2394.0
MX,Tuxtla Gutierrez,TUX Albania,8,2385.0
MX,Nuevo Laredo,Nlar_aeropuerto,8,2382.0
CO,Valledupar,San Jorge,8,2360.0
CO,Pereira,SAMARIA_2_PEI,8,2332.0
MX,Xalapa,Xalapa Bugambilias,8,2324.0
PE,Piura,Miraflores Centro,8,2321.0
BR,Grande São Paulo,SP - SP - Campo Limpo/Capão,8,2308.0
PE,Punta Hermosa,Sur Chico Playas,8,2307.0
AR,Rosario,Rosario Sur,8,2298.0
CO,Cartagena,La siriaca,8,2292.0
CO,Palmira,Palmira occidente,8,2280.0
MX,Tampico,Tam_Altamira,8,2263.0
EC,Guayaquil,Sauces,8,2253.0
MX,Piedras Negras,PDN_Piedras_Negras,8,2235.0
MX,Celaya,Celaya,8,2234.0
AR,Buenos Aires,Quilmes,8,2225.0
MX,San Jose Del Cabo,San Jose del Cabo,8,2224.0
BR,Grande São Paulo,SP - SP - Limao/Casa Verde,8,2211.0
BR,Rio De Janeiro,Barra,8,2204.0
CO,Rionegro,Llano_grande,8,2202.0
BR,Campinas,SP - CPS - Cambuí/Centro,8,2199.0
CL,Santiago De Chile,Recoleta,8,2190.0
CO,Cartagena,Centro Historico,8,2167.0
MX,Mexicali,MXL_Universidad,8,2155.0
MX,Ciudad De Mexico,CDMX_Cuautitlan_Melchor_Ocampo,8,2147.0
PE,Lima,El Carmen,8,2135.0
MX,Aguascalientes,AGS_Industrial Sur,8,2131.0
BR,Rio De Janeiro,Gavea,8,2125.0
MX,Villahermosa,VSA_Centro,8,2113.0
MX,Pachuca,PCH Zona Plateada,8,2108.0
BR,Curitiba,PR - CWB - Cristo Rei/Juveve,8,2085.0
CL,Santiago De Chile,San Carlos de Apoquindo,8,2053.0
MX,San Juan Del Rio,SAN JUAN DEL RIO,8,2041.0
MX,Xalapa,Xalapa Revolucion,8,2039.0
BR,Rio De Janeiro,Praia da Macumba,8,2036.0
AR,Cordoba,Nueva Cordoba,8,2007.0
MX,Pachuca,PCH_Calera-Saucillo,8,1988.0
MX,Tijuana,TIJ_Hipodromo,8,1977.0
MX,Chilpancingo De Los Bravo,Chilpancingo Sur,8,1956.0
MX,Chetumal,Chetumal,8,1937.0
MX,San Luis Potosi,SLP_Morales_Saucito,8,1937.0
MX,San Luis Potosi,SLP_Soledad,8,1929.0
AR,Cordoba,Sabattini Altamira,8,1929.0
MX,Leon,LEO_Sur,8,1919.0
MX,Toluca,Tol_Zinacantepec_Centro,8,1893.0
PE,Arequipa,Misti Norte,8,1873.0
MX,Aguascalientes,AGS_Canteras,8,1856.0
CL,Santiago De Chile,Independencia,8,1842.0
CO,Tulua,Tulua,8,1840.0
BR,Curitiba,PR - CWB - Novo Mundo,8,1827.0
CL,Viña Del Mar,Valparaíso,8,1814.0
MX,Campeche,CAMP Fidel Velazquez,8,1800.0
UY,Montevideo,Pocitos,8,1789.0
PE,Lima,Ate Centro,8,1768.0
MX,Chihuahua,CH_Periferico,8,1760.0
CL,Santiago De Chile,puente_alto,8,1756.0
MX,Durango,Dgo_fidel_velazquez,8,1753.0
CO,Girardot,Girardot,8,1752.0
MX,Villahermosa,VSA_Florida,8,1734.0
MX,Durango,Dgo_el_refugio,8,1730.0
MX,Tuxtla Gutierrez,TUX Jardines,8,1726.0
AR,Cordoba,Villa Adela,8,1708.0
MX,Toluca,Tol_Teconlógico-Bicentenario,8,1694.0
AR,Buenos Aires,Hurlingham,8,1691.0
PE,Arequipa,PichuPichu Este,8,1685.0
MX,Ciudad Juarez,JRZ_Torres,8,1683.0
BR,Grande São Paulo,SP - SP - Raposo/Rio Pequeno,8,1681.0
MX,Chihuahua,CH_TECNOLOGICO,8,1673.0
BR,Grande São Paulo,SP - SP - Vila Formosa/Carrao,8,1672.0
CO,Yopal,Yopal,8,1672.0
MX,Poza Rica De Hidalgo,Poza Rica Hidalgo,8,1671.0
MX,Pachuca,PCH Sur,8,1664.0
CO,Popayan,Popayan Norte,8,1648.0
BR,Rio De Janeiro,Recreio,8,1632.0
BR,Belo Horizonte,MG - BHZ - Cachoeirinha,8,1630.0
MX,Guaymas,Guaymas,8,1628.0
BR,Recife,PE - REC - Centro,8,1624.0
MX,Tepic,TEP_CENTRO_MOLOLOA,8,1620.0
MX,Tulancingo,TGO Centro,8,1618.0
MX,Cuernavaca,CVA-Temixco,8,1618.0
CO,Mosquera/ Funza,Madrid,8,1610.0
CO,Zipaquira,Zipaquira,8,1606.0
MX,Durango,Dgo_los_viñedos,8,1599.0
PE,Lima,Huachipa,8,1590.0
CO,Cartagena,Horizonte Campanos,8,1587.0
MX,Tijuana,TIJ_Insurgentes,8,1584.0
CL,Viña Del Mar,Reñaca,8,1574.0
MX,Tijuana,TIJ_Casa_Blanca,8,1559.0
AR,Rosario,Belgrano,8,1557.0
AR,La Plata,Gonnet,8,1547.0
CO,Barrancabermeja,Barrancabermeja,8,1542.0
MX,San Cristobal De Las Casas,San Cristobal de las casas,8,1516.0
EC,Quito,Centro de Quito,8,1497.0
AR,Mar Del Plata,MAR_DEL_PLATA_NORTE,8,1475.0
EC,Quito,Sur de Quito,8,1468.0
EC,Quito,El Inca,8,1467.0
BR,Rio De Janeiro,Centro,8,1454.0
BR,Belo Horizonte,MG - BH - Caiçara/Padre Eustáquio/Gameleira,8,1447.0
MX,Acapulco,ACA Las Playas,8,1443.0
CO,Cali,Puerta del Sol 2,8,1433.0
BR,Grande São Paulo,SP - OSC - Osasco,8,1424.0
AR,Salta,Salta_Centro,8,1422.0
AR,Buenos Aires,Nordelta,8,1401.0
MX,Tepic,TEP_SUR_XALISCO,8,1390.0
PE,Lima,San Juan de Lurigancho Centro,8,1372.0
AR,Corrientes,Corrientes,8,1370.0
MX,Aguascalientes,AGS_Pocitos,8,1368.0
MX,Morelia,MOR_Itzicuaro,8,1352.0
CO,Medellin,Alto_de_las_palmas,8,1349.0
UY,Montevideo,Centro,8,1334.0
MX,Tuxtla Gutierrez,TUX_San Francisco Real,8,1332.0
MX,Guanajuato,GUA_NORTE,8,1332.0
CO,Cali,Puerta del Sol,8,1331.0
AR,Buenos Aires,BERAZATEGUI,8,1309.0
CO,Ibague,Mirolindo,8,1307.0
MX,Tijuana,TIJ_El_Refugio,8,1294.0
PE,Lima,Lucyana,8,1294.0
BR,Belo Horizonte,Ouro_preto/Dona_clara,8,1291.0
MX,Los Cabos,LCS_Los_cabos,8,1289.0
BR,Fortaleza,ce_for_centro/fatima/parquelandia,8,1267.0
AR,Mendoza,GRAN_MENDOZA_NORTE,8,1266.0
MX,Tampico,Tam_Madero,8,1262.0
MX,Matamoros,MAT Victoria,8,1258.0
AR,Bahia Blanca,BAHIA_BLANCA_SUR,8,1248.0
MX,San Miguel De Allende,SMA Centro,8,1239.0
MX,Tijuana,TIJ_Otay_Industrial,8,1228.0
CO,Bucaramanga,Piedecuesta,8,1226.0
MX,San Luis Potosi,SLP_penasco,8,1220.0
AR,Bahia Blanca,BAHIA_BLANCA_NORTE,8,1210.0
EC,Quito,Carcelen Industrial,8,1198.0
AR,Santafe,Santa Fe,8,1197.0
MX,Cuautla,Cuautla,8,1192.0
AR,Buenos Aires,Merlo Moreno,8,1177.0
PE,Lima,Centro Lima Red,8,1167.0
MX,Atlacomulco,ATL Atlacomulco,8,1154.0
MX,Pachuca,PCH Bosques-Universidad,8,1142.0
AR,Cordoba,Racing Club,8,1138.0
MX,Tampico,Tam_Centro,8,1125.0
BR,Porto Alegre,RS - POA - Partenon,8,1124.0
CO,Ibague,Jardin,8,1124.0
EC,Guayaquil,Naval Sur,8,1118.0
MX,Mexicali,MXL_NuevoMexicali,8,1114.0
MX,Rosarito,Rosarito,8,1109.0
AR,Cordoba,Cordoba Zona Norte,8,1105.0
PE,Lima,Zona La Victoria Red,8,1101.0
MX,Tapachula,Tapachula,8,1082.0
MX,Chihuahua,CH_Centro,8,1078.0
CL,Santiago De Chile,la_pintana_el_bosque,8,1062.0
BR,Rio De Janeiro,Sao Conrado,8,1060.0
MX,Minatitlan,Minatitlán,8,1059.0
MX,Veracruz,VER_Boca,8,1034.0
MX,Mexicali,MXL_Los Portales,8,1031.0
MX,Tulum,TUL_Tulum,8,1031.0
CO,Barranquilla,Parque Alegra,8,1017.0
EC,Quito,Antiguo Aeropuerto,8,1016.0
PE,Cusco,Larapa,8,1013.0
BR,Grande São Paulo,SP - SP - Vila Matilde/Penha,8,1008.0
MX,Matamoros,MAT Treviño,8,1008.0
AR,Buenos Aires,San Miguel,8,1007.0
MX,Manzanillo,MNZ Santiago Centro,8,995.0
MX,Monterrey,Independencia,8,992.0
EC,Quito,Condado,8,982.0
AR,Buenos Aires,EZEIZA,8,972.0
MX,Piedras Negras,PDN Seccion 1,8,971.0
CL,Viña Del Mar,Interior V región,8,968.0
CO,Fusagasuga,Fusagasuga,8,967.0
MX,Texcoco,Texcoco,8,951.0
CO,Riohacha,Riohacha,8,950.0
AR,San Luis,SAN_LUIS,8,948.0
BR,Brasilia,DF - BSB - Asa Sul/Asa Norte,8,946.0
MX,Leon,LEO_Libramiento,8,941.0
EC,Quito,Vicentina- Floresta,8,940.0
CL,Santiago De Chile,Pudahuel,8,933.0
